Id,LotFrontage,LotArea,BldgType,OverallQual,YearBuilt,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,Fireplaces,FireplaceQu,GarageCars,YrSold,SaleCondition,SalePrice
80,60,10440,1Fam,5,1910,0,440,682,1230,1,0,NA,2,2009,Normal,110000
81,100,13000,1Fam,6,1968,576,896,1182,2142,2,1,Gd,1,2009,Normal,193500
82,32,4500,TwnhsE,6,1998,443,1237,1337,1337,2,0,NA,2,2006,Normal,153500
83,78,10206,1Fam,8,2007,468,1563,1563,1563,2,1,Gd,3,2008,Normal,245000
84,80,8892,1Fam,5,1960,66,1065,1065,1065,1,0,NA,2,2007,Normal,126500
85,NA,8530,1Fam,7,1995,22,384,804,1474,2,1,TA,2,2009,Normal,168500
86,121,16059,1Fam,8,1991,284,1288,1301,2417,2,1,TA,2,2006,Normal,260000
87,122,11911,1Fam,6,2005,0,684,684,1560,2,1,Gd,2,2009,Normal,174000
88,40,3951,TwnhsE,6,2009,76,612,612,1224,2,0,NA,2,2009,Partial,164500
89,105,8470,1Fam,3,1915,0,1013,1013,1526,1,0,NA,0,2009,Abnorml,85000
90,60,8070,1Fam,4,1994,0,990,990,990,1,0,NA,0,2007,Normal,123600
91,60,7200,1Fam,4,1950,0,0,1040,1040,1,0,NA,2,2006,Normal,109900
92,85,8500,1Fam,5,1961,203,1235,1235,1235,1,0,NA,2,2006,Abnorml,98600
93,80,13360,1Fam,5,1921,0,876,964,964,1,0,NA,2,2009,Normal,163500
94,60,7200,2fmCon,6,1910,0,1214,1260,2291,2,1,Gd,2,2007,Normal,133900
95,69,9337,1Fam,6,1997,0,824,905,1786,2,0,NA,2,2007,Normal,204750
96,NA,9765,1Fam,6,1993,68,680,680,1470,2,1,TA,2,2009,Normal,185000
97,78,10264,1Fam,7,1999,183,1588,1588,1588,2,0,NA,2,2006,Normal,214000
98,73,10921,1Fam,4,1965,48,960,960,960,1,0,NA,1,2007,Normal,94750
99,85,10625,1Fam,5,1920,0,458,835,835,1,0,NA,1,2010,Abnorml,83000
100,77,9320,1Fam,4,1959,0,950,1225,1225,1,0,NA,0,2010,Normal,128950
101,NA,10603,1Fam,6,1977,28,1610,1610,1610,2,2,TA,2,2010,Normal,205000
102,77,9206,1Fam,6,1985,336,741,977,1732,2,1,TA,2,2010,Normal,178000
103,64,7018,Duplex,5,1979,0,0,1535,1535,2,0,NA,2,2009,Alloca,118964
104,94,10402,1Fam,7,2009,0,1226,1226,1226,2,0,NA,3,2010,Normal,198900
105,NA,7758,1Fam,7,1931,600,1040,1226,1818,1,2,TA,1,2007,Normal,169500
106,75,9375,1Fam,8,2003,768,1053,1053,1992,2,1,Gd,2,2008,Normal,250000
107,60,10800,1Fam,4,1885,0,641,1047,1047,1,0,NA,1,2007,Normal,100000
108,50,6000,1Fam,5,1948,0,789,789,789,1,0,NA,1,2008,Partial,115000
109,85,8500,1Fam,5,1919,0,793,997,1517,2,0,NA,0,2007,Normal,115000
110,105,11751,1Fam,6,1977,480,1844,1844,1844,2,1,TA,2,2010,Normal,190000
111,75,9525,1Fam,6,1954,0,994,1216,1855,2,0,NA,1,2006,Normal,136900
112,NA,7750,1Fam,7,2000,0,384,774,1430,2,1,TA,2,2010,Normal,180000
113,77,9965,1Fam,7,2007,220,1264,1282,2696,2,1,Gd,3,2007,Partial,383970
114,NA,21000,1Fam,6,1953,184,1809,2259,2259,2,2,Gd,2,2007,Abnorml,217000
115,61,7259,1Fam,6,1945,0,1028,1436,2320,2,1,TA,1,2007,Normal,259500
116,34,3230,TwnhsE,6,1999,1129,729,729,1458,2,1,Fa,2,2007,Normal,176000
117,NA,11616,1Fam,5,1962,116,1092,1092,1092,1,1,Po,1,2009,Normal,139000
118,74,8536,1Fam,5,2006,0,1125,1125,1125,1,0,NA,2,2007,Partial,155000
119,90,12376,1Fam,7,1990,0,1673,1699,3222,3,2,TA,3,2010,Normal,320000
120,65,8461,1Fam,6,2005,0,728,728,1456,2,1,Gd,2,2006,Partial,163990
121,NA,21453,1Fam,6,1969,0,938,988,988,1,2,TA,2,2006,Normal,180000
122,50,6060,1Fam,4,1939,0,732,772,1123,1,0,NA,1,2007,Normal,100000
123,75,9464,1Fam,6,1958,135,1080,1080,1080,1,0,NA,1,2008,Normal,136000
124,55,7892,TwnhsE,6,1993,0,1199,1199,1199,2,0,NA,2,2008,Normal,153900
125,48,17043,1Fam,6,1979,0,1362,1586,1586,2,1,TA,2,2009,Normal,181000
126,60,6780,2fmCon,6,1935,0,520,520,754,1,0,NA,0,2006,Normal,84500
127,NA,4928,TwnhsE,6,1976,0,1078,958,958,2,1,TA,2,2007,Normal,128000
128,55,4388,1Fam,5,1930,0,672,840,840,1,1,TA,0,2007,Normal,87000
129,69,7590,1Fam,6,1966,266,660,660,1348,1,1,Fa,2,2006,Normal,155000
130,69,8973,1Fam,5,1958,85,1008,1053,1053,1,0,NA,2,2006,Abnorml,150000
131,88,14200,1Fam,7,1966,309,924,1216,2157,2,2,Gd,2,2006,Normal,226000
132,NA,12224,1Fam,6,2000,40,992,1022,2054,2,1,TA,2,2009,Normal,244000
133,75,7388,1Fam,5,1959,0,1063,1327,1327,1,0,NA,2,2007,Normal,150750
134,NA,6853,1Fam,8,2001,136,1267,1296,1296,2,0,NA,2,2009,Normal,220000
135,78,10335,1Fam,5,1968,0,1461,1721,1721,2,1,TA,2,2006,Normal,180000
136,80,10400,1Fam,7,1970,288,1304,1682,1682,2,1,Gd,2,2008,Normal,174000
137,NA,10355,1Fam,5,1967,196,1214,1214,1214,2,1,Fa,1,2007,Normal,143000
138,82,11070,Duplex,7,1988,70,1907,1959,1959,3,0,NA,3,2006,Family,171000
139,73,9066,1Fam,8,1999,320,1004,1004,1852,2,2,TA,3,2008,Normal,230000
140,65,15426,1Fam,6,1997,0,928,928,1764,2,0,NA,2,2009,Normal,231500
141,70,10500,1Fam,4,1971,0,864,864,864,1,1,Po,0,2010,Normal,115000
142,78,11645,1Fam,7,2005,0,1734,1734,1734,2,0,NA,2,2006,Normal,260000
143,71,8520,1Fam,5,1952,0,910,910,1385,2,0,NA,2,2010,Normal,166000
144,78,10335,1Fam,7,1999,183,1490,1501,1501,2,0,NA,2,2009,Normal,204000
145,70,9100,Duplex,5,1963,336,1728,1728,1728,2,0,NA,2,2006,Abnorml,125000
146,24,2522,Twnhs,6,2004,50,970,970,1709,2,0,NA,2,2006,Normal,130000
147,51,6120,1Fam,5,1931,0,715,875,875,1,0,NA,1,2009,Normal,105000
148,NA,9505,1Fam,7,2001,180,884,884,2035,2,1,Gd,2,2010,Normal,222500
149,63,7500,1Fam,7,2004,120,1080,1080,1080,1,0,NA,0,2008,Normal,141000
150,NA,6240,1Fam,5,1936,0,896,896,1344,1,0,NA,1,2006,Normal,115000
151,120,10356,1Fam,5,1975,0,969,969,969,1,0,NA,2,2007,Normal,122000
152,107,13891,1Fam,8,2007,436,1710,1710,1710,2,1,Gd,3,2008,Partial,372402
153,NA,14803,1Fam,6,1971,252,825,1097,1993,2,1,Gd,2,2006,Normal,190000
154,NA,13500,1Fam,6,1960,0,1602,1252,1252,1,1,Gd,2,2008,Normal,235000
155,84,11340,1Fam,6,1923,0,1200,1200,1200,1,0,NA,1,2006,Family,125000
156,60,9600,1Fam,6,1924,0,572,572,1096,1,0,NA,0,2008,Normal,79000
157,60,7200,1Fam,5,1950,0,0,1040,1040,1,0,NA,2,2006,Normal,109500
158,92,12003,1Fam,8,2009,84,774,774,1968,2,1,Gd,3,2010,Partial,269500
159,100,12552,1Fam,7,2004,0,991,991,1947,2,1,Gd,2,2010,Normal,254900
160,134,19378,1Fam,7,2005,456,1392,1392,2462,2,1,Gd,2,2006,Partial,320000
161,NA,11120,1Fam,6,1984,0,1232,1232,1232,2,0,NA,2,2008,Normal,162500
162,110,13688,1Fam,9,2003,664,1572,1572,2668,2,2,Gd,3,2008,Normal,412500
163,95,12182,1Fam,7,2005,226,1541,1541,1541,2,1,Gd,2,2010,Partial,220000
164,55,5500,1Fam,4,1956,0,882,882,882,1,0,NA,0,2007,Normal,103200
165,40,5400,1Fam,6,1926,0,1149,1149,1616,2,0,NA,1,2007,Normal,152000
166,62,10106,2fmCon,5,1940,0,644,808,1355,2,0,NA,0,2008,Normal,127500
167,NA,10708,1Fam,5,1955,0,1617,1867,1867,1,3,Gd,1,2009,Normal,190000
168,86,10562,1Fam,8,2007,300,1582,1610,2161,1,1,Gd,3,2007,Partial,325624
169,62,8244,1Fam,7,2004,0,840,840,1720,2,1,Gd,2,2007,Normal,183500
170,NA,16669,1Fam,8,1981,653,1686,1707,1707,2,1,TA,2,2006,Normal,228000
171,NA,12358,1Fam,5,1941,0,720,854,1382,1,0,NA,2,2007,Normal,128500
172,141,31770,1Fam,6,1960,112,1080,1656,1656,1,2,Gd,2,2010,Normal,215000
173,44,5306,TwnhsE,7,1987,0,1064,1064,1767,2,1,TA,2,2006,Normal,239000
174,80,10197,1Fam,6,1961,491,1362,1362,1362,1,1,TA,2,2008,Normal,163000
175,47,12416,1Fam,6,1986,132,1606,1651,1651,2,1,TA,2,2008,Normal,184000
176,84,12615,1Fam,6,1950,0,1202,2158,2158,2,1,Gd,2,2007,Normal,243000
177,97,10029,1Fam,6,1988,268,1151,1164,2060,2,1,TA,2,2007,Normal,211000
178,NA,13650,1Fam,5,1958,0,1052,1252,1920,2,1,Gd,2,2006,Normal,172500
179,63,17423,1Fam,9,2008,748,2216,2234,2234,2,1,Gd,3,2009,Partial,501837
180,60,8520,1Fam,5,1923,0,968,968,968,1,0,NA,2,2007,Normal,100000
181,NA,2117,Twnhs,6,2000,456,756,769,1525,2,1,TA,2,2007,Normal,177000
182,54,7588,1Fam,7,1920,0,793,901,1802,1,1,Gd,1,2006,Normal,200100
183,60,9060,1Fam,5,1957,98,0,1340,1340,1,1,Gd,1,2007,Normal,120000
184,63,11426,1Fam,7,2003,0,1362,1362,2082,2,0,NA,2,2008,Normal,200000
185,92,7438,1Fam,5,1908,0,504,936,1252,1,0,NA,2,2006,Normal,127000
186,90,22950,1Fam,10,1892,0,1107,1518,3608,2,2,TA,3,2006,Normal,475000
187,NA,9947,1Fam,7,1990,0,1188,1217,1217,2,0,NA,2,2009,Normal,173000
188,60,10410,1Fam,5,1916,0,660,808,1656,2,0,NA,1,2009,Normal,135000
189,64,7018,Duplex,5,1979,275,1086,1224,1224,0,2,TA,2,2009,Alloca,153337
190,41,4923,TwnhsE,8,2001,0,1593,1593,1593,1,1,Gd,2,2008,Normal,286000
191,70,10570,1Fam,8,1932,0,853,1549,2727,2,2,TA,2,2007,Normal,315000
192,NA,7472,1Fam,7,1972,138,725,725,1479,1,0,NA,2,2007,Normal,184000
193,68,9017,1Fam,7,1999,0,1431,1431,1431,2,0,NA,2,2009,Normal,192000
194,24,2522,Twnhs,7,2004,50,970,970,1709,2,0,NA,2,2006,Normal,130000
195,60,7180,1Fam,5,1972,0,864,864,864,1,0,NA,1,2008,Normal,127000
196,24,2280,Twnhs,6,1976,0,855,855,1456,2,1,TA,2,2009,Normal,148500
197,79,9416,1Fam,7,2007,205,1726,1726,1726,2,1,Gd,3,2007,Partial,311872
198,174,25419,1Fam,8,1918,0,1360,1360,3112,2,1,Ex,2,2006,Abnorml,235000
199,92,5520,1Fam,6,1912,0,755,929,2229,1,0,NA,0,2009,Abnorml,104000
200,76,9591,1Fam,8,2004,262,1713,1713,1713,2,1,Gd,3,2009,Normal,274900
201,80,8546,1Fam,4,2003,0,1121,1121,1121,2,0,NA,2,2010,Normal,140000
202,75,10125,1Fam,6,1977,0,1196,1279,1279,2,2,Fa,2,2008,Normal,171500
203,50,7000,1Fam,6,1924,0,617,865,1310,2,0,NA,1,2006,Normal,112000
204,NA,4438,TwnhsE,6,2004,205,848,848,848,1,1,Gd,2,2008,Normal,149000
205,50,3500,1Fam,5,1947,0,720,720,1284,1,0,NA,1,2009,Normal,110000
206,99,11851,1Fam,7,1990,0,1424,1442,1442,2,0,NA,2,2009,Normal,180500
207,40,13673,1Fam,5,1962,0,1140,1696,1696,1,1,TA,1,2007,Normal,143900
208,NA,12493,1Fam,4,1960,0,1100,1100,1100,1,1,Po,1,2008,Normal,141000
209,NA,14364,1Fam,7,1988,128,1157,1180,2062,2,1,Gd,2,2007,Normal,277000
210,75,8250,1Fam,6,1964,260,1092,1092,1092,1,0,NA,2,2008,Normal,145000
211,67,5604,1Fam,5,1925,0,864,864,864,1,0,NA,0,2008,Normal,98000
212,83,10420,1Fam,6,2009,0,1212,1212,1212,2,0,NA,2,2010,Normal,186000
213,72,8640,1Fam,7,2009,0,900,932,1852,2,1,TA,2,2009,Partial,252678
214,43,13568,1Fam,5,1995,0,990,990,990,1,0,NA,2,2006,Normal,156000
215,NA,10900,1Fam,6,1977,153,689,689,1392,1,0,NA,1,2010,Normal,161750
216,72,10011,1Fam,5,1957,64,1070,1236,1236,1,1,Fa,1,2006,Normal,134450
217,65,8450,1Fam,7,2004,266,1436,1436,1436,2,0,NA,2,2008,Normal,210000
218,57,9906,1Fam,4,1925,0,686,810,1328,1,0,NA,1,2006,Family,107000
219,NA,15660,1Fam,7,1939,312,798,1137,1954,1,2,TA,2,2008,Normal,311500
220,43,3010,TwnhsE,7,2005,16,1248,1248,1248,2,0,NA,2,2006,Partial,167240
221,73,8990,1Fam,7,2006,0,1498,1498,1498,2,0,NA,2,2006,Partial,204900
222,NA,8068,1Fam,6,2002,0,1010,1010,2267,2,1,TA,2,2009,Normal,200000
223,85,11475,1Fam,6,1975,0,713,811,1552,2,1,TA,2,2006,Normal,179900
224,70,10500,1Fam,4,1971,0,864,864,864,1,0,NA,2,2009,Abnorml,97000
225,103,13472,1Fam,10,2003,922,2392,2392,2392,2,1,Ex,3,2009,Normal,386250
226,21,1680,Twnhs,5,1971,142,630,630,1302,2,0,NA,1,2009,Abnorml,112000
227,82,9950,1Fam,7,1995,290,1203,1214,2520,2,1,TA,3,2007,Abnorml,290000
228,21,1869,Twnhs,6,1970,127,483,483,987,1,0,NA,1,2008,Normal,106000
229,70,8521,1Fam,5,1967,0,912,912,912,1,1,Fa,1,2010,Normal,125000
230,43,3182,TwnhsE,7,2005,16,1373,1555,1555,2,1,TA,2,2009,Normal,192500
231,73,8760,1Fam,6,1959,220,1194,1194,1194,1,0,NA,1,2010,Normal,148000
232,174,15138,1Fam,8,1995,506,1462,1490,2794,2,1,TA,3,2009,Normal,403000
233,21,1680,Twnhs,6,1972,297,483,483,987,1,1,Po,1,2006,Normal,94500
234,75,10650,1Fam,5,1976,0,894,894,894,1,0,NA,1,2010,Normal,128200
235,NA,7851,1Fam,6,2002,NA,860,860,1960,2,2,TA,2,2010,Normal,216500
236,21,1680,TwnhsE,6,1971,604,483,483,987,1,0,NA,1,2008,Normal,89500
237,65,8773,1Fam,7,2004,98,1414,1414,1414,2,0,NA,2,2010,Normal,185500
238,NA,9453,1Fam,7,1993,0,996,1014,1744,2,0,NA,2,2010,Normal,194500
239,93,12030,1Fam,8,2007,254,1694,1694,1694,2,0,NA,3,2007,Partial,318000
240,52,8741,1Fam,6,1945,0,735,798,1487,1,1,Gd,1,2010,Normal,113000
241,75,9000,1Fam,8,2008,36,1566,1566,1566,2,0,NA,2,2010,Normal,262500
242,40,3880,1Fam,5,1945,0,686,866,866,1,0,NA,0,2007,Normal,110500
243,63,5000,1Fam,5,1900,0,540,889,1440,1,0,NA,1,2006,Normal,79000
244,75,10762,TwnhsE,6,1980,0,626,626,1217,1,1,TA,1,2009,Normal,120000
245,NA,8880,1Fam,7,1994,0,948,1222,2110,2,2,Fa,2,2010,Normal,205000
246,80,10400,1Fam,7,1988,102,1845,1872,1872,2,1,TA,2,2006,Normal,241500
247,69,9142,2fmCon,6,1910,0,1020,908,1928,2,0,NA,1,2006,Normal,137000
248,75,11310,1Fam,6,1954,0,1367,1375,1375,1,1,TA,2,2006,Normal,140000
249,72,11317,1Fam,7,2003,101,840,840,1668,2,0,NA,2,2007,Normal,180000
250,NA,159000,1Fam,6,1958,472,1444,1444,2144,2,2,TA,2,2007,Normal,277000
251,55,5350,1Fam,3,1940,0,728,1306,1306,1,0,NA,0,2010,Normal,76500
252,44,4750,TwnhsE,8,2006,481,1573,1625,1625,2,1,Gd,2,2007,Family,235000
253,65,8366,1Fam,6,2004,0,798,798,1640,2,0,NA,2,2008,Normal,173000
254,85,9350,1Fam,6,1964,108,1302,1302,1302,2,0,NA,1,2007,Normal,158000
255,70,8400,1Fam,5,1957,0,1314,1314,1314,1,0,NA,1,2010,Normal,145000
256,66,8738,1Fam,7,1999,302,975,1005,2291,2,1,TA,2,2006,Normal,230000
257,64,8791,1Fam,6,2003,0,864,864,1728,2,0,NA,2,2008,Normal,207500
258,68,8814,1Fam,7,2006,180,1604,1604,1604,2,1,Gd,2,2009,Abnorml,220000
259,80,12435,1Fam,7,2001,172,963,963,1792,2,1,TA,2,2008,Normal,231500
260,70,12702,1Fam,5,1956,0,0,882,882,1,0,NA,1,2008,Normal,97000
261,120,19296,1Fam,6,1962,399,1362,1382,1382,1,1,TA,2,2009,Normal,176000
262,69,9588,1Fam,8,2007,270,1482,1482,2574,2,1,Gd,3,2007,Partial,276000
263,88,8471,1Fam,6,1977,46,506,1212,1212,1,1,TA,2,2006,Normal,151000
264,50,5500,1Fam,5,1929,0,926,926,1316,1,0,NA,2,2010,Normal,130000
265,30,5232,1Fam,5,1925,0,680,764,764,1,0,NA,2,2008,Normal,73000
266,78,12090,1Fam,6,1981,210,1422,1422,1422,2,1,TA,2,2008,Normal,175500
267,70,11207,1Fam,6,1997,0,802,802,1511,2,1,TA,2,2006,Normal,185000
268,60,8400,1Fam,5,1939,0,720,1052,2192,2,1,Gd,1,2008,Normal,179500
269,71,6900,1Fam,5,1940,0,740,778,778,1,1,Gd,1,2008,Normal,120500
270,NA,7917,1Fam,6,1976,174,1143,1113,1113,1,1,Fa,1,2007,Normal,148000
271,84,10728,1Fam,8,2006,0,1095,1095,1939,2,1,Gd,3,2006,Partial,266000
272,73,39104,1Fam,7,1954,0,1385,1363,1363,1,2,TA,2,2008,Normal,241500
273,92,11764,1Fam,8,1999,348,1152,1164,2270,2,1,Gd,3,2010,Normal,290000
274,80,9600,1Fam,6,1958,183,1240,1632,1632,2,1,Gd,1,2009,Normal,139000
275,76,8314,1Fam,5,1982,0,816,816,816,1,0,NA,1,2007,Normal,124500
276,55,7264,1Fam,7,1925,0,952,952,1548,2,0,NA,2,2009,Normal,205000
277,129,9196,1Fam,7,2003,0,1560,1560,1560,2,0,NA,2,2010,Normal,201000
278,140,19138,1Fam,4,1951,0,864,864,864,1,0,NA,2,2010,Normal,141000
279,107,14450,1Fam,9,2006,315,2121,2121,2121,2,1,Ex,3,2007,Partial,415298
280,83,10005,1Fam,7,1977,299,1160,1156,2022,2,1,TA,2,2008,Normal,192000
281,82,11287,1Fam,7,1989,340,807,1175,1982,2,1,TA,2,2007,Normal,228500
282,60,7200,1Fam,6,2006,68,1262,1262,1262,2,0,NA,2,2006,Partial,185000
283,34,5063,Twnhs,7,2007,166,1314,1314,1314,2,1,Gd,2,2009,Normal,207500
284,74,9612,1Fam,8,2008,72,1468,1468,1468,2,1,Gd,3,2009,Partial,244600
285,50,8012,TwnhsE,6,1992,0,1575,1575,1575,2,0,NA,2,2007,Normal,179200
286,35,4251,TwnhsE,7,2006,0,625,625,1250,2,0,NA,2,2007,Partial,164700
287,77,9786,1Fam,6,1962,0,912,1085,1734,1,1,Gd,2,2006,Normal,159000
288,NA,8125,1Fam,4,1971,0,858,858,858,1,0,NA,0,2006,Normal,88000
289,NA,9819,1Fam,5,1967,31,882,900,900,1,0,NA,1,2010,Normal,122000
290,60,8730,1Fam,6,1915,0,698,698,1396,1,0,NA,1,2007,Normal,153575
291,120,15611,1Fam,8,2006,0,1079,1079,1919,2,1,Gd,2,2006,Partial,233230
292,55,5687,2fmCon,5,1912,0,780,936,1716,2,0,NA,0,2008,Normal,135900
293,60,11409,1Fam,5,1949,0,768,1148,1716,1,1,Gd,1,2009,Normal,131000
294,NA,16659,1Fam,7,1977,34,795,1468,2263,2,1,TA,2,2006,Normal,235000
